(AWS)	Afrikaanse Woordelys en Spelreëls
symbol	simbool
sympathy	simpatie
symphony	simfonie
synagogue	sinagoge
synchromesh	sinchroonskakeling
sysop (system operator)	sysop (stelseloperateur)
systamatise	sistematiseer
system	sisteem
systemicq	sistemies, sistemiese
systems approach	sisteembenadering
T-shirt	T-hemp
tab	stootkeep, tabelkeep
tab menu	vakkiekieslys, oortjiekieslys
table	tafel
table fork	tafelvurk
table knife	tafelmes
table lamp	tafellamp
table mountain	tafelberg
table salt	tafelsout
table tennis	tafeltennis
table wine	tafelwyn
table-cloth	tafeldoek
tablecloth	tafellaken, tafellinne
tag	plaatjie, merker, merker, grepie
tagging language	plaatjietaal
tail	stert
tail pipe	suigpyp, uitlaatpyp
tail pipe extension	suigpypverlenging, uitlaatpypverlenging
tailless	afstert
taillight	agterlig, stertlig
taillights	agterligte
take a note of	aanteken
take away by guile or deceit	afrokkel
take off, put off	afhaal
take off, put off	uittrek
take off, put off, lie, recline	lê
take place, be set in	afspeel
take the place of, replace, substitute	vervang
taking turns	afwisselend
tangible	aantasbaar, aantasbare
tannin	tannien
tape deck	bandspeler (radio)
tape head	bandkop (radio)
tape mechanism	bandmeganisme (radio)
tape recorder	bandopneemmasjien, bandopnemer
tape slack	bandslapte (radio)
tar	tar (kompressieformate)
tar	teer
target (v.)	teiken (ww.)
targeted (adj.)	geteiken(de) (b.nw.)
tariffs	aksyns
tart, astringent	vrank
tartar	wynsteen
tartness	vrankheid
tartrate	tartraat
tartrates	tartrate
taskmaster	balju
taste	proe
taste buds	smaakkliere
tawny port	tanige port
taxi	huurmotor
taxi	taxi
taxidriver, taxi-driver	taxibestuurder
taxidriver, taxi-driver	taxidrywer
teach, leather, learn	leer
teacher (classroom)	onderwyser
teacher, female teacher	onderwyseres
teaching strategy (...gies)	onderrigstrategie(ë)
team teaching	spanonderrig
tear	traan
tear off	afskeur
tease	pla
technical	tegnies
technicians	tegnici
teetotaller	afskaffer
telegram	telegram
telegraph	telegrafeer
telephone	telefoon
telephone line	telefoonlyn
telephone, link	skakel
television, TV	televisie
television, TV	TV
tell	aansê
tell off, shake off, mildly insult	afknou
Telnet	telnet
temperance	matigheid
temperance society	afskaffingsbeweging, afskaffingsvereniging
temperature	temperatuur
temperature control	temperatuurbeheer
temperature indicator	temperatuurmeter
template	templaat, sjabloon
temple president	tempel president
tempo of fermentation	gistingstempo
temporarily	provizore
ten	tien
tendon	pees
tendons	pese
tendril	rank
tennis	tennis
tension, voltage	spanning
tent	tent
terabyte	teragreep
term	term
terminal	terminaal
terminate	termineer, beëindig (kommunikasie), termineer (netwerkkabel)
terrestrial glory	terrestriale heerlikheid
terrestrial kingdom	terrestriale koninkryk
terrestrial world	terrestriale wêreld
test	toets
test track	toetsbaan
testament	testament
testimony	getuienis
text	teks
thank	bedank
thank	dank
Thank you!	Baie dankie!
thank you, thanks	dankie
thankful	dankbaar
thanks	bedankinge, bedankings
thanks to	danksy
that	dat
that, that one	daardie een
that, that one, those	daardie
that, that over there, those	dit daardie
that, that over there, those, these, this	dit
that, which, which one, who	watter
that, which, which one, who	wie
the accused	die aangeklaagde
the almighty	die almagtige
the day before yesterday	eergister
the lord's day	die dag van die here
the other day, recently	anderdag
the other way round	andersom
the police	polisiewese
the power of suggestion	suggestie
the press	perswese
the, that, that one	die
theatre	teater
theirs	hulle s'n
them, to them, they, their, her, his, its	hulle
theme, topic, subject	onderwerp
then	dan
then	destyds
there, yonder	daar
therefore	agtereenvolgens
therefore	aldus
therefore	daarom
these, this	hierdie
these, this, this here	dit hierdie
they are	hulle is
thicken	aandik
thief	dief
third	derde
thirsty	dors
thirteen	dertien
thirty	dertig
this afternoon	vanmiddag
this evening	vanaand
those, this	dié
thou, you	jy
thought	gedagte
thoughtful	bedagsaam
thousand, one thousand	duisend
thread	rygdraad
threat	bedreiging
threaten	bedreig
threatened	bedreigde
three	drie
throat	keel
throughout	dwarsdeur
throw	gooi
throw down	afgooi
throw off	afwerp
thumb	duim
Thursday	Donderdag
tie off	afbind
tie, necktie	das
tiger	Indiese tier
tilde	tilde (~), slangetjie (minder formeel) (bvh)
timber, wood	hout
time	tyd
time down frequency range	frekwensie bestek (aftel)
time server	tydbediener
time up frequency range	frekwensie bestek (optel)
timeout	spertydperk
timer	tydreëlaar
timing chain	tydreëlketting
tinkerer	peuteraar
tip	fooitjie
tips	raad
tipsy	aangeklam
tired	moeg
tithe	tiende
tithing	tiendeheffing; die tiende
TLA (Three letter acronym)	TLA (drieletterakroniem), DLA
to be	om te wees
to each other	aan mekaar
to fellowship	inskakel
to tell the truth	eintlik
to, toward, towards	aan
to, toward, towards	na ... toe
to, toward, towards, after, close, near, nearby	na
to, toward, towards, closed, shut, now, well	toe
to, toward, towards, for, during, while, whilst	vir
toad, frog	padda
tobacco	twak
today, to-day	vandag
toddler	peuter
toddlers	peuters
together	bymekaar
together	saam
toilet	toilet
tomato	tamatie
tomorrow	môre
tomorrow evening	môreaand
tomorrow morning	môreoggend
tone	toon (radio)
tonic wine	versterkwyn
too, too much	te
tool bar	hulpstafie
tools	hulpmiddels, gereedskap
toothache	tandpyn
top level	topvlak
top, truncate	vermink
topic	onderwerp
topped	getop, ge-"top"
torque	wringkrag
tortoise	skilpad
tot	sopiemaat
touch (n)	aanraking
touch (v)	aanraak
tourism	toerisme
tourist bureau	toeristeburo
tournament	toernooi
tow truck	insleeptrok, insleepvoertuig, insleepwa, takelwa
tow-away vehicle	takelwa (kyk ook tow truck)
town council	heemraad
toxicity	toksisiteit
tracing paper	aftrekpapier
track	baan (radio)
track	spoorwydte (afmetings)
tractor unit	trekmotor (vragmotor)
trade (n)	ambag
trade school, vocational school	ambagskool
trade test, trade examination	ambagstoets, ambagtoets
trademark	handelsmerk
tradesman	ambagsman
tradesmen	ambagsliede, ambagslui, ambagsmanne
tradition	tradisie
traditional	tradisioneel
traffic block, traffic congestion, traffic jam	verkeersknoop
traffic rules	verkeersreëls
tragedy	tragedie
trailer leg	sleepwastaander, treilerstaander
trailer leg foot	treilerstaandervoet(stuk)
trailer leg winding gear	treiler(staander)opwentoestel,  hystoestel 
train	trein
trampled (a)	platgetrap, platgetrapte, platgeval
trance window (n) (Eudora)	spoorventer, spoorruitjie
tranquiliser	kalmeermiddel
transaxle helical gear	transas heliese rat
transfer (v)	oordra
transgress	oortree
transgression	oortreding
Transkei	die Transkei
Transkei	Transkei
translate	vertaal
translation	vertaling
transmit	oorsend, versend
transparant	transparant
transport	vervoer
transport log	vervoerstaaflêer
Transvaal, the Transvaal	Transvaal
trash	rommel, rommelmandjie, drommetjie
trashcan	asblik
travel, journey, trip, voyage	reis
tread	trap (v)
tread bracing layer	loopvlakver(sterking(s))laag, loopvlakspanlaag
tread design	loopvlakontwerp, loopvlakpatroon
treasurer	penningmeester, penningmeesteres
treat	onthaal
treble control	hoëtoonkontrole (radio)
tree	boom
tree fruit	boomvrugte
tree of knowledge of good and evil	boom van die kennis van goed en kwaad
tree of life	boom van die lewe
trellis wire	opleidraad
trellised vines	opleiwingerd
trellising system	opleistelsel
trend(s)	tendens(e)
tribes of israel	stamme van israel
triple-click	drie-klik, klik-klik-klik, drie-kliek
trochoid pump	trogoïedpomp
tropical	tropies
tropical fruit	tropiese vrugte
trouble	penarie
trout	forel
truck trailer	aanhaaktreiler
true, absolutely, genuinly, indeed, really, truly	werklik
trunk	koffer
trunk capacity	bagasiebakgrootte
truss	kap (n)
truss system	prieëlstelsel
truth, reality	waarheid
try on	aanpas
tub	kuip
Tuesday	Dinsdag
tulip	tulp
tumble down	aftuimel
tune (v)	instel (radio)
turbid	troebel
turbo-charged engine	aangejaagde enjin
Turk	Turk
turkey	kalkoen
Turkey	Turkye
Turkish	Turks
turn	afwyk
turn	draai
turning circle	draaisirkel
turnoff (road)	afrit
TV set, television set	televisiestel
twelve	twaalf
twenty	twintig
twenty-one	een en twintig
twenty-one	een-en-twintig
twice	tweekeer
twig	sytakkie
twin-tone hooter	tweetoontoeter
twins	tweeling
two	twee
type	blokletter
typist	tikster
tyre	band
tyre rack	band(e)rak, wielrak
ubiquitous	alomteenwoordig, alomteenwoordige
Ukraine, the Ukraine	Oekraine
Ukrainian	Oekrainer
Ukrainian	Oekrains
ullage	byvulruimte
umbrella	sambreel
umlaut	umlaut (bv ü)
unambiguous	eenduidig(e)
uncle	oom
uncouple, unfasten, loosen	afkoppel
underfermented grape sugar	ongegiste druifsuiker
underground	ondergronds
underline	onderstreep
understand, realise, realize	verstaan
understand, realise, realize, be aware of	besef
understeer	onderstuur
unemployed	werkloos
unemployment	werkloosheid
unfinished	onafgewerkte
unfortified wine	onversterkte wyn
unfortunately, unhappy	ongelukkig
unholy	onheilig
uniform	uniform
unique	uniek
unit standard(s)	eenheidstandaard(e)
United States of America, USA	VSA
unity	eenheid
university	universiteit
unless	tensy
unload	aflaai
unmask	ontmasker
unpack	uitpak
unpack, unload	afpak
unread	ongelees
untameable	ontoombaar
until	tot
until	tot by
until	totdat
unveil	onthul
unveiling ceremony	onthullingsplegtigheid
unworthy of approval	afkeurenswaardig
up front moderated	vooruit gemodereer
upgrade (n)	opgradering
upgrade (v)	opgradeer
upper deck	bodek (kyk lower deck)
upper deck	boonste dek
uppercase	bokas
uranium	uraan
URL (Uniform Resource Locator)	URL (Uniforme hulpbronopspoorder)
us, to us, we, our	ons
useful	nuttig(e), bruikbaar (...bare)
Usenet	Usenet
user	gebruiker
user ID	gebruiker-ID
user name	gebruikernaam
utilities	hulpprogramme (cmdp), byprogramme
UUCP (Unix to Unix Copy)	UUCP (Unix-na-Unix-kopiëering)
uudecode	uu-dekodeer (Unix to Unix decode)
uuencode	uu-enkodeer (Unix to Unix encode)
Vaal	Vaal
vacant	vakant
Valhalla, Walhalla	Walhalla
valid	geldig(e)
valid	geldig, korrek, aanvaarbaar,
value (v.)	waarde heg aan
value, worth	waarde
valve spring	klepveer
vanilla	vanielje
vanity mirror	grimeerspieël(tjie)
vanity mirror	smukspieël(tjie)
vapour	damp
variable (n.)	veranderlike (s.nw.)
varied (adj.)	gevarieerd(e) (b.nw.)
variety	variasie
vat	vaatjie
vat	vat (s.nw)
Vatican, the Vatican	Vatikaan
vats, large oak	stukvate
vegetable	groente
vegetable (a)	plantaardig, plantaardige
vegetables	groente
vegetation	plantegroei
vegetative	groenteagtig
vehicle	voertuig
veil	sluier
vein	aar
Venezuela	Venezuela
Venezuelan	Venezolaan
Venezuelan	Venezolaans
vent	luggang, ventluggat
vent	luik, ontluggat, syluik
vent door	ventelasiedeur(tjie), ventelasiegat
ventilation	ventilasie
verb	werkwoord
verify	verifieer
vermin	ongedierte
version	versie
very expensive	peperduur
very good	bakgat
very slippery	aalglad, aalgladde
very small	piepklein
very thin	plankdun
very young	piepjonk
via	via, oor, per
vicarious ordinances	plaasvervangende ordinansies
vicarious work	plaasvervangende werk
vice-secretary	adjunk-sekretaris
victim	slagoffer
victory	oorwinning
Vienna, Viennese	Weens
Vietnamese	Vietnamees
view	bekyk, besigting, kyk
view	uitsig
view (v)	aanskou
viewpoint	standpunt
village	dorp
vin d'ordinaire	tafeldrank
vin ordinaire	vin ordinaire, drinkwyn, tassies
vine	(wingerd)stok
vine cuttings	wingerdstokkies
vine row	wingerdry
vinegar case	asynvat
vineyards	wingerde
viniculture	wynbou
vintage	oesjaar, wynjaar, wynoes
vintage brandy	vintage-brandewyn
Vintage port	wynoesport
vintage wine	spitsjaarwyn, spitswyn
viola	altviool
viola	basviool
violin	viool
virtual	amperreële, virtuele
virtual reality	skynrealiteit (meer akkuraat), amperrealiteit, virtuele realiteit
virtuous	opreg, rein
virus	virus
visible	sigbaar
vision	visioen
visit	besoek
visitor's register	besoekersboek
visual representation(s)	visuele weergawe(s)
vitamin	vitamien
vitamin	vitamine
viticulture	wingerdbou
vocational training	ambagsonderwys, ambagsopleiding
void	kolk
volcano	vulkaan
Volga	Wolga
volunteer	vrywilliger
vote down	afstem
vulture	aasvoël
vulture	gier
vulture nest	aasvoëlnes
wages	arbeidsloon
wagon	wa
wait	afwag
waiter	kelner
waiting-room, waiting room	wagkamer
Wales	Wallis
wall	muur
Wallonia	Waleland
walnut	okkerneut
war of words	pennestryd
ward	wyk
warm	warm
warn (v)	waarsku
warning	aanmaning
warning	waarskuwing
warnings	aanmaninge, aanmanings
wash ashore	aanspoel
washing and anointing	wassing en salwing
washroom	waskamer
wasp nest	perdebynes
wasp, hornet	perdeby
wasp-waisted	perdebylyfie
waste	afloop
waste product	afskeidingsproduk
waste product	afvalproduk, afvalstof
waste removal	afvalverwydering
waste water	afloopwater
waste water, run-off water	afvloeiwater, afvoerwater
watch	horlosie
watch, wrist-watch	armhorlosie
watch, wrist-watch	polshorlosie
water	water
water cooled	waterverkoel
water pump	waterpomp
water retention	waterhouvermoë
water run	waterafloop
water-melon	waatlemoen
watermark	watermerk
watermelon	waatlemoen
watershoot	waterloot
Watt	watt
wav file	wav-lêer
wax	was
we are	ons is
weapon	afweermiddel
weapon	wapen
wear (v)	aanhê
web site	webwerf, webbladsy, webblaai, webtuiste (kyk homepage),
webmaster	webmeester
Wednesday	Woensdag
week-end	naweek
weekly	weekliks
weigh	afweeg
welcome	welkom
welded together	aaneengesweis, aaneengesweiste
well	put
well aged	goedverouderd, well matured
well-being, prosperity, success	welvaart
well-known	bekend
Welsh	Wallies
Welshman	Walliser
western	westelik
western	Westers
wet	nat
wet cardboard	nat karton
whale	walvis
what for, why	hoekom
what for, why	waarom
what kind of, what sort of	watter soort
what time	hoe laat
what, that, which, which one, who	wat
what?	wat?
wheel cylinder	wielsilinder
wheelbase	asafstand
when	wanneer
when?	wanneer?
where ... to	waar ... heen
where ... to	waarheen
where ... to	waarnatoe
where, true	waar
which one's, whose	wie se
whisky, whiskey	whisky
white (person), Caucasian	witmens, blanke
white port	witport
white wine	witwyn
who?	wie?
whole	heel
whoredom	hoererye
widely known	alombekend
widow	weduwee
widower	wewenaar
width	wydte, breedte
wife	gade
wife, woman	vrou
wild yeast cells	wilde gisselle
willingly	graag
willow	wilgerboom
wind	wind
wind break, wind breaker	windbreek, windskerm
wind deflector	windklapskerm
window	ruit
window winder handle	ruitslinger
window, show window	venster
windpipe	asempyp
windscreen	voorruit, windskerm
windscreen wiper blade	ruitveërblad, ruitveërlem
windy side	windkant
wine district	wynstreek
wine for purpose of distilling	stookwyn
winter	winter
winter prune	wintersnoei
wiper arm	ruitveërarm
wiper blade rubber	ruitveër(blad)rubber
wire	draad
wire stretcher	draadtrekker
wisdom	wysheid
wiseacre, wit	platjie
witch	heks
witchcraft	towery
with reference to	in verband met
with, by, by means of, through	met
with, together with	saam met
without	sonder
wizard	slimmerd (outomatiese hulp- opstelprogram)
wolf	wolf
womaniser	meisiesgek
womb, uterus	baarmoeder
wood	hout
wood aroma	houtaroma
wood maturation	houtveroudering
wood nose	houtaroma
wood taste	houtsmaak
wooden floor	plankvloer
woody	houtagtig
wool	wol
word	woord
word of god	woord van god
word of wisdom	woord van wysheid
word processor	woordverwerker
word wrap	woordvou, woordomvou, omvou (clc)
work therapy	arbeidsterapie
work-shy	arbeidsku
working class	arbeiderklas
working hours	arbeidsure
working-class neighbourhood	arbeidersbuurt
working-class population	arbeidersbevolking
workshop	werkswinkel
worm	wurm
worm-condenser, condensation coil	koelslange
wormwood	als-kruie, vermoets
worship	aanbid
worship (n)	aanbidding
worship (v)	aanbid
worshipper	aanbidder
worshipping	aanbiddend, aanbiddende
worthy of consideration	agtenswaardig, agtenswaardige
wrapping paper	plakpapier
wrist	pols, polsgewrig
wristwatch	polshorlosie
write	skryf
writing error, typing error	afskryffout
written	skriftelik
WWW (World Wide Web)	WWW (Wêreldwye web)
Xhosa	Xhosa
Xhosa	Xhosa-
Xhosa woman	Xhosavrou
yacht	jag
yard	yard
yardstick	meetlat, meetstok
yardstick	peilstok
year	jaar
year of vintage	oesjaar
yeast	gis (n)
yeast cells	gisselle
yeast lees	gismoer
yeasting	gisenting
yeasting	insuur
yeasty	suurdeegagtig, gistend
yell	gil
yellow	geel
yes	ja
yesterday	gister
yield	oplewer
yoghourt, yoghurt	yoghurt
you are	jy is
